id,created_at,english_title,original_language,screening_city,date_of_showing,showtime,cinema,english_href,screening_type,hebrew_title,hebrew_href,dub_language,screening_tech,tmdb_id,run_id
cbc75d69-d1ac-fcb2-a102-bf791138eb76,2026-03-02 12:00:00+00,"""Wuthering Heights""",English,Haifa,2026-03-02,11:00:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-689636&languageid=en_gb,Not Just Cinema,אנקת גבהים,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-689636&languageid=he_IL,,2D,1316092,169
c4d391e1-ffb1-5861-a9e9-54a88658fbcd,2026-03-02 12:00:00+00,"""Wuthering Heights""",English,Haifa,2026-03-02,18:40:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-238087&languageid=en_gb,Not Just Cinema,אנקת גבהים,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-238087&languageid=he_IL,,2D,1316092,169
7393837c-b59b-a638-afbb-4589c7ba1296,2026-03-02 12:00:00+00,DJ Ahmet,Macedonian,Haifa,2026-03-02,11:00:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-913408&languageid=en_gb,Not Just Cinema,להזיז הרים,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-913408&languageid=he_IL,,2D,1400743,169
ee8fde58-c25d-eeb3-4eaf-c67bc37685f5,2026-03-02 12:00:00+00,GOAT,English,Haifa,2026-03-02,10:30:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-388682&languageid=en_gb,Not Just Cinema,להעז בגדול,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-388682&languageid=he_IL,,2D,1297842,169
b59fb217-e2b0-d2cb-7922-98a9280ce8f5,2026-03-02 12:00:00+00,GOAT,English,Haifa,2026-03-02,13:50:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-290587&languageid=en_gb,Not Just Cinema,להעז בגדול,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-290587&languageid=he_IL,,2D,1297842,169
45fd6b6d-a071-9946-6dea-a5505b1e5eeb,2026-03-02 12:00:00+00,GOAT,English,Haifa,2026-03-02,15:50:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-996123&languageid=en_gb,Not Just Cinema,להעז בגדול,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-996123&languageid=he_IL,,2D,1297842,169
0e4c07b1-4ecc-bc0d-f467-57868ad08a89,2026-03-02 12:00:00+00,GOAT,English,Haifa,2026-03-02,18:40:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-762367&languageid=en_gb,Not Just Cinema,להעז בגדול,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-762367&languageid=he_IL,,2D,1297842,169
9e9aeed2-ee09-f637-4e74-c90f1f211008,2026-03-02 12:00:00+00,GOAT,English,Haifa,2026-03-02,20:30:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-483711&languageid=en_gb,Not Just Cinema,להעז בגדול,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-483711&languageid=he_IL,,2D,1297842,169
01cedb05-2498-4ed2-e6f4-524d13edcab8,2026-03-02 12:00:00+00,"Good Luck, Have Fun, Don't Die",English,Haifa,2026-03-02,17:00:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-479609&languageid=en_gb,Not Just Cinema,"בהצלחה, תהנו, אל תמותו",https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-479609&languageid=he_IL,,2D,1119449,169
ddba9969-995e-4da4-283c-daa1c05e8716,2026-03-02 12:00:00+00,Is This Thing On?,English,Haifa,2026-03-02,10:30:00,Hot Cinema,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-451623&languageid=en_gb,Not Just Cinema,זה עובד,https://tickets.hotcinema.co.il/site/1195/tickets?code=1195-451623&languageid=he_IL,,2D,1140498,169
